회사명,직무/포지션,고용형태,근무지역(상세),근무지역(도시),근무기간,급여,요구스킬,스킬수,기업규모,직무카테고리,공고URL
콘크리트파머스,[유통사업부] MD 채용 (경력 무관),,,,,,,0,,,https://inthiswork.com/archives/313459
KMAC,26년 3월 AA(채용전환형 인턴) 모집,인턴,,기타,,,,0,중견기업,기타,https://inthiswork.com/archives/313001
알파코드,AI 서비스 개발자 (AI Service Developer),,,기타,,,"데이터 파이프라인, TensorFlow, PyTorch, AWS, GCP, Azure",6,스타트업,기타,https://inthiswork.com/archives/313346
에프앤엘코퍼레이션,[인턴] CEO Staff – Research Analyst,인턴,"F&L 본사(서울특별시 영등포구 150, 생각공장 당산 C동 14층)",서울,,"3,000만원(식대, 고정OT 포함)",Excel,1,스타트업,데이터분석가,https://inthiswork.com/archives/313306
애커튼파트너스,AX 컨설턴트 (인턴),인턴,,기타,6개월 (평가에 따라 정규직 전환 여부 검토),,"데이터 분석, 머신러닝, 딥러닝, Python, SQL, Excel",6,스타트업,리서치/컨설팅,https://inthiswork.com/archives/313225
SK텔레콤,파운데이션 모델 데이터 담당자,,,기타,3개월 (최대 6개월까지 근무 가능),,,0,대기업,기타,https://inthiswork.com/archives/313223
퍼즐원스튜디오,퍼즐게임 시스템기획자 (경력무관),계약직,,기타,,,데이터 분석,1,스타트업,기획/전략,https://inthiswork.com/archives/313221
NAVER Z,제페토 CRM 운영 및 유저 액션 설계 (계약직) (무관),계약직,,기타,,,"데이터 분석, SQL",2,스타트업,기타,https://inthiswork.com/archives/313189
PTKOREA,[인턴] 대기업 글로벌 브랜드 VoC Monitoring 및 데이터 분석 지원,인턴,(06241) 서울 강남구 강남대로 372 FINE TOWER – 신분당선 강남 에서 200m 이내,서울,,,데이터 분석,1,외국계,데이터분석가,https://inthiswork.com/archives/313148
더파운더즈,[ANUA] 일본 마케팅 데이터 분석 글로벌 인턴십 (전환형),인턴,,기타,,월 250만 원 (세전),"데이터 분석, 시각화, Python, SQL, Tableau, Power BI, Excel, Looker, BigQuery, MySQL",10,스타트업,데이터분석가,https://inthiswork.com/archives/313133
LG AI연구원,Research Scientist – Chemical Agentic AI,,,기타,,,PyTorch,1,대기업,데이터사이언티스트,https://inthiswork.com/archives/313009
카카오페이,[어시스턴트] AICC 고도화 운영 지원,,,기타,,,데이터 분석,1,대기업,기타,https://inthiswork.com/archives/312989
플리토,Data Engineer 인턴 채용,인턴,,기타,채용일로부터 6개월,회사내규에 따름,Python,1,스타트업,DE/ML엔지니어,https://inthiswork.com/archives/312980
현대자동차,3월 신입·경력 채용,신입,,기타,,,,0,대기업,기타,https://inthiswork.com/archives/311611
딜로이트 안진회계법인,경영자문부문 Discovery Forensic Lab 계약직,계약직,,서울,,,"Python, SQL, Excel",3,스타트업,기타,https://inthiswork.com/archives/312915
알보젠코리아,[향남공장 or 강남본사] SAP Set-up Project Team Member (1Y Contract),계약직,,기타,,,,0,스타트업,기타,https://inthiswork.com/archives/312895
키움증권,KIWOOM DIGITAL ACADEMY,,,기타,,,,0,스타트업,기타,https://inthiswork.com/archives/312832
LG이노텍,[CTO]Physical AI알고리즘 및 응용 솔루션 개발,,,기타,,,,0,대기업,기타,https://inthiswork.com/archives/312808
딜로이트 안진회계법인,인재부 기획팀 Intern 채용,인턴,,서울,,,"데이터 분석, Excel",2,스타트업,기획/전략,https://inthiswork.com/archives/312792
임팩티브AI,[Deepflow] RA(Research Assistance) 채용,,,기타,,,"데이터 분석, Python, Excel, 통계",4,스타트업,리서치/컨설팅,https://inthiswork.com/archives/312740
EY,컨설팅부문 Digital 컨설팅 인턴,인턴,,기타,,법인 내규,,0,스타트업,리서치/컨설팅,https://inthiswork.com/archives/312712
한국산업은행,2026년 하반기 5급 신입행원 채용,신입,,기타,,,,0,스타트업,기타,https://inthiswork.com/archives/312635
우아한형제들,프로모션 기획(B마트),,,기타,12개월,,SQL,1,스타트업,기획/전략,https://inthiswork.com/archives/312614
플리토,공간/이미지 번역 솔루션 운영 인턴,인턴,,기타,채용시 ~ 2026-08-31,,데이터 분석,1,스타트업,기타,https://inthiswork.com/archives/312574
서울신문,AI 서비스 개발자 채용,,,서울,,,Python,1,스타트업,기타,https://inthiswork.com/archives/312566
키엔스코리아,2026년 상반기 비영업 신입사원 채용,신입,,기타,,,,0,스타트업,기타,https://inthiswork.com/archives/312561
한국전파진흥협회,전파 분야 규제개선 아이디어 공모전 개최,,,기타,,,,0,중견기업,기타,https://inthiswork.com/archives/312521
한국데이터정보과학회 & SAS KOREA,제2회 데이터 분석 경진대회,,,기타,,,데이터 분석,1,스타트업,데이터분석가,https://inthiswork.com/archives/312537
디노티시아,[Data Engineer] 채용,,,기타,,,,0,스타트업,DE/ML엔지니어,https://inthiswork.com/archives/312502
카카오,LLM Research Engineer (신입/경력),신입,,기타,,,,0,대기업,DE/ML엔지니어,https://inthiswork.com/archives/312442
카카오,AI 데이터 라벨링_어시스턴트,,,기타,,,,0,대기업,기타,https://inthiswork.com/archives/312423
삼익THK,사무보조 부문 *채용전환형 인턴,인턴,,기타,,,,0,스타트업,기타,https://inthiswork.com/archives/312409
GS칼텍스,2026년 상반기 신입사원 채용,신입,,기타,,,,0,스타트업,기타,https://inthiswork.com/archives/312323
아모레퍼시픽,2026 상반기 AMOREPACIFIC 신입사원 수시채용_생산시스템 엔지니어,신입,,기타,,,"데이터 파이프라인, 시각화, SQL, AWS",4,스타트업,DE/ML엔지니어,https://inthiswork.com/archives/312318
비트망고,수익화 담당자,계약직,,기타,,,"데이터 분석, 시각화, SQL",3,스타트업,기타,https://inthiswork.com/archives/293375
쿠팡로지스틱스서비스,인재풀 등록 (설치물류 분야),,,기타,,,데이터 분석,1,스타트업,기타,https://inthiswork.com/archives/312258
LG전자,2026년 상반기 R&D 석/박사 산학장학생 채용(LGE Members),,,기타,,,,0,대기업,기타,https://inthiswork.com/archives/309509
마쉬코리아,Marsh Risk Early Career & Graduate Program 2026 – Korea,,,,,,,0,,,https://inthiswork.com/archives/312852#comment-1777
코스맥스그룹,2026년 상반기 신입사원 공개채용,,,,,,,0,,,https://inthiswork.com/archives/312950#comment-1770
한국투자공사,2026년도 청년인턴 채용,인턴,,기타,,,,0,스타트업,기타,https://inthiswork.com/archives/313024#comment-1768
한국산업은행,2026년 하반기 5급 신입행원 채용,신입,,기타,,,,0,스타트업,기타,https://inthiswork.com/archives/312635#comment-1767
한국수출입은행,2026년도 상반기 전문직행원(신입) 채용,,,,,,,0,,,https://inthiswork.com/archives/312817#comment-1766
한국산업은행,2026년 하반기 5급 신입행원 채용,신입,,기타,,,,0,스타트업,기타,https://inthiswork.com/archives/312635#comment-1765
